Localidad,Categoría ,Prestadores,Web,Funcionamiento,Observaciones,Dirección,Teléfono fijo,WhatsApp,Plazas totales
MDLP,Cabaña,Antares  ,Si,Abierto todo el año.,,Payró entre Juan de Garay y Cruz del Sur,(02255) 47-2550,5492255509630,20
MA,Cabaña 2*,Amuillán ,Si,Abierto T. A.,Sin contacto,Calle 31 y Playa,,,60
LG,Sin categorizar,Antú-Kuyen  ,Si,Abierto todo el año.,, Mar del Plata y Brown N° 37,(02255) 45-8642 / 11 53174921 ,,28
MDLP,Cabaña,Arâmê  ,Si,Abierto todo el año.,,Avenida del Lucero y Arq. Bunge N° 628,(02255) 45-1863,5491141748862,42
LG,Apart Hotel,Arawi  ,Si,Abierto todo el año.,,Punta del Este e/ Brown y Espora (Calle 28),(02255) 45-2521,5491154140776,46
MDLP,Cabaña,Arcadia  ,Si,Abierto todo el año.,,Joaquín V. González y Benito Lynch,No posee.,5491141470040,20
LG,Apart Hotel,Arena Azul  ,Si,Cerrado h. octubre,,Calle 29 y Avenida Mar Azul N° 89,(02255) 45-7759/8697/ 1158063639 ,5491136444346,100
LG,Cabaña,Arenas del Bosque  ,Si,Abre el 15 de diciembre,,Copacabana e/Calles 29 y 30,(02255) 47-7710,5491140692047 / 5491159043149 ,60
LG,Apart Hotel 3 *,Arrullos de Mar ,Si,Abre el 17/08 y deja abierto hasta la temporada.,,Mar del Plata esq. Calle 28,(02255)  45-6264,5491168842184 / 5491126686692 ,48
MDLP,Deptos con Servicios,Avalon  ,Si,Abierto todo el año.,, Los Andes y Limay N°70,(02255) 47-8550,5491164761226,18
LG,Cabaña 2*,Ayres de Mar ,Si,Cerrado hasta el finde de agosto,,Calle 30 y Mar del Plata, (02255) 47-2690,5491144144470,80
MDLP,Apart Hotel,Blume  ,Si,Abierto todo el año.,no brindo info,Las Toninas e/ Las Acacias y Los Cóndores,(02255) 47- 9543,,27
MDLP,Apart Hotel,Barlovento  ,Si,Abierto todo el año.,,Los Cóndores N° 152,(02255) 45-6592,5491168226394/ 549370472077,24
MDLP,Sin categorizar,Bethania  ,Si,Cierra el 01/05 y reabre el 01/11.,,Mercedes Sosa y Recalada Nº 16,(02255) 45-4859,5491144469910,30
LG,Cabaña,Bosque en el Atlántico  ,Si,Abre en octubre.,,Calle 28 e/ Mar del Plata y Mar Azul,(02255) 47-9887,5491159679761,20
MDLP,Cabaña,Bosque Pampa,Si,Abierto todo el año.,,Piedrabuena N° 36,,5492267676187,16
MDLP,Cabaña 2*,Brugge  ,Si,Abierto todo el año.,,Sobral e/ Storni y Virazón,(02255) 45-5685,5492255529251,24
MA,Cabaña 1*,Cabañas del Bosque    (3 u),Si,Abierto todo el año. ,,Calle 43 N° 320 e/ Punta del Este y Copacabana,(02255) 45-2427,5492266535488,24
LG,Departamentos con servicios,Cáfila   ,Si,Abierto todo el año.,,Calle 31 entre Mar Azul y Mar del Plata,(02255) 47-4625,5491136882242,44
MDLP,Cabaña,Calamoresca  ,Si,Abierto todo el año.,No pedir tarifas,Benito Lynch y Juez Repetto,(02255) 47-3300,5492234461563,20
LG,Cabaña,Casa Kiri ,Si,Abierto todo el año.,Sin contactos,Calle 32 y Mar Azul,,,30
MA,Cabaña,Caleuche  ,Si,Abierto todo el año.,,Calle 28 entre Mar del Plata y Mar Azul,(02255) 45-6400,5491152477935,18
MDLP,Apart Hotel,Careyes Villa de Mar,Si,Abierto todo el año.,,Delfín N° 33 entre Alfonsina Storni y Virazón,(02255) 45-2245,5491141940414,178
MDLP,Sin categorizar,Casa de Piedra  ,Si,Abierto todo el año.,,Virazón y Playa,(02255) 47-9797,,30
VG,Departamentos con servicios,Filo de los Médanos ,Si,Edificio,"No pedir ocupacion, No pedir tarifas, No pedir reservas, No pedir diponibilidad",Alameda 206 Nº 594 e/ Calles 310 y 311,,5492254538722,16
MDLP,Apart Hotel,Casa Loló,No,No figura en la web.,,Piedra Buena N° 72,,5491130902506,12
LG,Sin categorizar,Casa Playa  ,Si,Abre en diciembre. ,No pedir tarifas,Alte. Brown y Mar Azul,(02255) 46-7577,5492255627744,16
LG,Apart Hotel,Caviahue Costa Apart  ,Si,Abierto T. A. ,,Alte. Brown y Copacabana,,,60
LG,Departamentos con servicios,Casabosque,Si,Abierto todo el año.,,Calle 33 N° 313 y Punta del Este,(02255) 47-8590,,40
MDLP,Departamentos con servicios,Casiopea  ,Si,Abierto todo el año.,,J. V. González Nº 14,(02255) 46-2289,5491163365881,50
MA,Apart Hotel,Cepas de Mar,No,No figura en la web.,,Calle 33 N° 51,,5491124968022,12
MDLP,Apart Hotel,Fueguia ,Si,Abierto todo el año.,Malos tratos,Santa María entre El Ceibo y Garay,,,18
MDLP,Cabaña,Cipreses  ,Si,Abre el 31 de  diciembre.,No pedir tarifas,San Andrés e/ Pangaré y Los Pinos,(02255) 46-8621,5491133435316,24
MDLP,Cabaña,Claro de Luna  ,Si,Abierto todo el año.,,Hudson N° 41 e/ Mercedes Sosa y J. V. González,(02255) 47-6952,5491140979808,28
MDLP,Sin categorizar,Colina Blanca  ,Si,Abierto todo el año.,,Las Toninas y Juez Repetto N° 263,(02255) 45-6404,5492255435676,24
MDLP,Cabaña,Complejo Pampa  ,Si,,No pedir tarifas, Joaquín V. González y Recalada,(02255) 47-6869,5491156219001,10
VG,Apart Hotel,Gesell Mar Apart San Remo (ex Compart Vip)  ,Oculto,Oculto en web.,,Costanera e/ Paseos 119 y 121,(02255) 46-6015,5492234423485,102
VG,Hostería 2*,Gran Chalet,No,No figura en la web.,,Paseo 105 N° 447,,,
MA,Cabaña,Costa Soñada  ,Si,Abierto todo el año.,,Calle 39 entre Copacabana y Punta del Este,(02255) 47-2821,5492477586017,32
MDLP,Cabaña,Cruz del Sur ,Si,Abierto todo el año.,,Cruz del Sur e/ Avenida del Plata y Pangaré,No posee.,5491163976167,25
LG,Apart Hotel,Cuatro Estaciones  ,Si,Abre en diciembre,,Calle 28 entre Punta Indio y Pinamar,,5492284618509,17
LG,Cabaña,Costa Palmera ,Si,"cerrado, no creo que vuelva abrir. ",Sin contacto,Punta del Este e/ Calles 32 y 33,,54 9 11 40578075,16
MDLP,Cabaña,Cuatro Lunas  ,Si,Abierto todo el año.,,El Lucero y Bunge,(02255) 45-8512,5492235110489,40
LG,Departamentos con servicios,Cucalambe  ,Si,Abierto todo el año.,,Calle 29 y Copacabana,(02255) 45-7245,5492267523627 / 5492267537139,14
MDLP,Cabaña,Del Aluminé  ,Si,Abierto todo el año.,, Los Andes e/ Virazón y Mercedes Sosa,(02255) 47-2911 ,,14
MDLP,Departamentos sin servicios,Departamentos,Si,Abierto todo el año.,,Cabo Corrientes Nº 42,(11) 5064-6564,5491150646564,20
MDLP,Departamentos con servicios,Departamentos con Servicios,Si,,,Cabo Corrientes Nº 68,(011) 15-50646564,5491150646564,20
MDLP,Cabaña,Doña Acacia ,Si,Abierto todo el año.,,Victoria Ocampo e/ Las Acacias y Juez Repetto,No posee,5492255506214,32
CM,Apart Hotel,Dunas de las Pampas ,Si,,,Avenida 3 y Paseo 157,(02255) 47-5990,,86
MDLP,Apart Hotel,E´Luru,Si,Abierto todo el año.,,Virazón y Playa,,5492255435676,37
LG,Cabaña,Eclipse  ,Si,Abierto todo el año.,,Alte. Brown y Viña del Mar,11 77260887,5491168926161,34
LG,Cabaña,El Beso,Si,Abierto todo el año.,,Calle 29 e/ Mar del Plata y Punta del Este,,5491144185722,8
MDLP,Cabaña,El Candal  ,Si,Abierto todo el año.,,Cuyo e/ Mercedes Sosa y Virazón,(02255) 46-8430,5492267401428/ 5492267527753,18
VG,Hotel 1*,Hostal del Mar  ,Oculto,Oculto en web.,,Avenida 2 Nº 1751 y Paseo 118,(02255) 46-2613,,60
LG,Cabaña,El Chaparral  ,Si,Abierto todo el año.,,Calle 35 y Punta del Este,,5492255529602,21
VG,Sin categorizar,Hostería Nahuel  ,Si,Oculto en web.,,Paseo 105 Nº 417,,11 69312099,40
MDLP,Cabaña,El Mar  ,Si,Abierto todo el año.,, Delfín e/ A. Storni y Virazón,(02255) 45-7449,5491164842435,24
VG,Hotel 1*,Huemul,No,No figura en web.,,Paseo 114 y Playa,,,
MDLP,Cabaña,El Ocio ,Si,Abierto T.A.,,Piedrabuena y Juan de Garay,(02255) 47-9752,5491154856707,20
MA,Cabaña,El Pinar  ,Si,Abierto todo el año.,, Calle 35 entre Punta del Este y Viña del Mar,,5492235207954,20
LG,Apart Hotel,El Remanso del Bosque  ,Si,Abierto todo el año.,,Alte. Brown y Viña del Mar,(02255) 45-8007,5492235379982,40
MDLP,Cabaña,Elementos  ,Si,Abierto todo el año.,,J. V. González y Recalada,,5491131467445,20
LG,Deptos con Servicios,Entremares  ,Si,Abierto todo el año.,,Calle 30 e/ Mar del Plata y Mar Azul N° 275,,5492477565869,38
MA,Apart Hotel,Entrepinos  ,Si,Cierra 15/03 y reabre en noviembre.,,Calle 43 e/Mar del Plata y Calle 1,,5493413021522,32
MDLP,Cabaña,Escondida en el Bosque ,Si,Abierto todo el año,,Yaganes Nº 63 y Querandíes,,5491157385960 / 5491157385959,8
LG,Cabaña,Espacio Papyro  ,Si,Cerrado hasta septiembre.,,Calle 28 y Viña del Mar,(02255) 47-7199,5492254525533,36
LG,Apart Hotel,Farnese  ,Si,Abierto todo el año,,Calle 28 entre Punta Indio y Pinamar,(02255) 47-2332,5492255416625,130
MDLP,Apart Hotel,Finiterra  ,Si,Abre fines de septiembre,,Cuyo N° 44,(02255) 47-4439,5491144183100,38
MDLP,Cabaña,Flores del Bosque ,Si,Abierto todo el año. ,No enviar whatsApp, Delfín entre A. Storni y Virazón,(02255) 45-2273,No enviar whatsApp,24
LG,,Flow,Si,,,,,5491150295630,152
MDLP,Cabaña,Gala Apart  ,Si,Abierto todo el año.,,Yaganes N° 47 entre El Lucero y Querandíes,(02255) 47-6899,5492254425243,6
LG,Apart Hotel,Gaviotas Beach Home ,Si,Abierto todo el año.,,Calle 33 entre Mar Azul y Playa,(02255) 47-8383 ,5491130054321,48
LG,Departamentos con servicios,Gaviotas Frente al Mar,Si,Abierto todo el año.,,Calle 30 y Boulevard Marítimo N° 25,,5492254595045,168
LG,Apart Hotel,Kajol  ,Si,Abierto todo el año ,Sin contacto,Calle 34 e/ Punta del Este y Copacabana,,,36
MDLP,Departamentos con servicios,Dor Playa,Si,,,Calle 28 y Playa N° 17 ,No posee,,
MDLP,Cabaña,Hadas del Bosque  ,Si,Abierto todo el año,,Piedrabuena y Juan de Garay,(02255) 45-2820,5491163601437,16
MDLP,Apart Hotel,Haras del Bosque ,Si,Abierto todo el año.,,Los Cóndores N° 124,(02255) 47-4035 / 6,5492267471763,30
LG,Apart Hotel,Heiwa,Si,Abierto todo el año.,,Calle 34 y Playa,(02255) 45-3674,5491132149260,20
MDLP,Hostería 2*,Hostal de las Piedras  ,Si,Abre en enero,,Cuyo entre Mercedes Sosa y Virazón,(02255) 45-4220 /2267440981 ,5492267451080,25
MDLP,Cabaña,Huanquelen  ,Si,Abierto todo el año ,No pedir reservas,Juez Repetto entre Benito Lynch y E. Paz,(02255) 47-8719,5492255435676,98
MDLP,Cabaña,Hurra Pampa  ,Si,Abierto T.A.,,Piedrabuena y Juan de Garay,(02255) 47-2882,5492235431222 / 54 9 2233 454800,20
LG,Apart Hotel,Iqu apart  ,Si,Abierto todo el año.,,Punta del Este y Calle 28,(02255) 47-0800/ 45-6998,5491133288551,47
MA,Cabaña 2*,Iwoka  ,Si,Abierto T.A.,Llamar por la mañana,Calle 43 e/ Mar del Plata y Mar Azul,Comunicarse los domingos. ,5492216721424,25
MDLP,Apart Hotel 4*,Jaina Resort & Spa,Si,Abierto todo el año.,, Barlovento y Los Cóndores,(02255) 47-4488,5491130949156,70
VG,Hospedaje 1*,La Estrella,No,No figura en web.,,Avenida 5 N° 984,,,
MDLP,Departamentos con servicios,Kaia  ,Si,Abierto todo el año.,,Cruz del Sur entre J. de Garay y Santa María,(02255) 47-8126,5491135656501,12
MDLP,Cabaña,Kimbara  ,Si,Abierto todo el año.,,El Lucero y José Hernández,(02255) 45-8639,5491162825500,18
LG,Cabaña,Ko-Lafken  ,Si,Abierto T.A  Abre en enero,,Punta del Este y Calle 29,(02255) 46-8654,,24
MDLP,Cabaña,La Aldea  ,Si,,,Yaganes y Querandíes,,5491161870156/ 5492255417621,18
VG,Hostel,La Gran 7  ,Oculto,Oculto en web. Cambio de nombre Dechill,,Avenida 7 Nº 1354,,5492216748487 / 5491167820875,48
LG,Cabaña,La Bajada del Cacique  ,Si,"Cerrado, abre en diciembre.",,Alte. Brown entre Punta Indio y Pinamar,,5491131123323,12
LG,Apart Hotel,La Goleta del Mar  ,Si,Abierto todo el año.,,Viña del Mar e/ Almirante Brown y Calle 28,,,30
MDLP,Cabaña,La Empedrada  ,Si,Abierto T.A.,,Piedrabuena y Juan de Garay,(02255) 45-9570,5492267526992,16
MDLP,Sin categorizar,La Foret  ,Si,Abierto todo el año. Solo los fines de semana.,,Los Andes entre Mercedes Sosa y Virazón,(02255) 47-2388 ,5492255570015,18
LG,Cabaña,La Francisca  ,Si,Abre en T.A..,,Calle 28 y Copacabana,(02255) 45-8276,5492255435676,30
MDLP,Cabaña,La Hora del Sol  ,Si,Abierto todo el año.,,Cruz Del Sur entre Ombú y J. Garay,   (02255) 45-2898,5491160472031,16
MDLP,Departamentos con servicios,La Serena de las Pampas  ,Si,"Abierto todo el año, cierra solo junio. ",No pedir tarifas,Avenida Cruz del Sur N° 383 y Juan de Garay,(02255) 45-8409,5491151070226,14
MDLP,Cabaña,La Tinaja ,Si,Abierto todo el año,,Joaquín V. González y E. Paz,(02255) 47-9810,5491168196130,60
MDLP,Cabaña,Las Lomas  ,Si,Abierto todo el año.,No pedir tarifas,Piedrabuena N° 61 y Juan de Garay,(02255) 45-7906,5493489690234,28
LG,Cabaña,Las Pampitas  ,Si,Abierto todo el año.,,Punta del Este y Alte. Brown,(02255) 45-5820,5491130278534,28
LG,Cabaña,Las Waras ,Si,Abierto todo el año,,Calle 30 y Mar Azul,(02255) 47-9849,5492944350006,20
MA,Cabaña,Las Acacias ,Si,,Sin contacto,Calle 40 entre Punta del Este y Copacabana,,,15
MDLP,Departamentos con servicios,Le Cuyen  ,Si,Abre en octubre,,Hudson N° 59 y Mercedes Sosa (Ex. Roca),(02255) 45-7155/6,5492234669815,12
MDLP,Cabaña,Lemu ,Si,Abierto todo el año,,Pangaré y Los Pinos,(02255) 47-9855 / 115432376 / 1169960134,,34
MDLP,Cabaña 2*,Leyendas  ,Si,Cierra 21/04 y abre los fines de semana largos.,,Juan de Garay entre Querandíes y Piedrabuena,(02255) 47 9605,5492233030624,26
LG,Apart Hotel 3* superior,Lomas del Mar  ,Si,Abierto todo el año.,,Calle 32 y Playa,(02255) 47-2970,5491163978565,72
LG,Cabaña 2*,Los Charruas ,Si,Abierto todo el año ,,Calle 31 N° 86 esquina Mar Azul,(02255) 47-2424 ,,22
CM,Cabaña,Los Ciruelos ,Si,Abierto T.A.,Llamar por la mañana,Avenida 3 y Paseo 168,Llamar los domingos       (02255) 45-6545,5492216721424,64
LG,Apart Hotel,Los Mirasoles  ,Si,Abierto todo el año. ,No pedir tarifas,Calle 31 y Playa,,5492255629661,112
LG,Departamentos con servicios,Los Naranjos ,Si,Abierto en vacaciones de invierno,,Calle 32 Nº 81 (Esquina Mar Azul),111545232077,5492255507370,22
MA,Cabaña,Los Peques  ,Si,Abierto todo el año.,,Punta del Este entre Calles 35 y 36,,5491168567649,19
MDLP,Cabaña,Luces del Bosque  ,Si,Abierto todo el año.,,Guiraldes entre Las Acacias y Juez Repetto,(02255) 45-4780,5492255520198,38
MDLP,Cabaña,Lunas del Lemú  ,Si,Abierto todo el año.,,El Lucero y Bunge,(02255) 46-6375,5491160428000,48
MDLP,Cabaña,Mapuche  ,Si,Abierto todo el año. ,No pedir tarifas,Santa María N° 382 y El Ceibo,(02255) 47-9628,,59
MA,Departamentos con servicios,Mar Azul Suites  ,Si,Abierto todo el año.,,Calle 36 N° 244 e/ Av. Mar del Plata y Punta del Este,,5493416066167,22
LG,Apart Hotel,Mar de las Gaviotas  ,Si,Abierto todo el año.,,Copacabana entre Calles 32 y 33,,5491144185722 / 5491165049707,17
MDLP,Cabaña,Marea Casas en el Mar  ,Si,Abre el 15 de diciembre,,Delfín N° 77 entre Storni y Virazón,(02255) 45-2731,5491139136841,12
LG,Cabaña,Mi Lugar  ,Si,Abierto todo el año.,Sin contactos,Calle 31 e/ Mar Azul y Playa,,,40
LG,Departamentos con servicios,Médano 29  ,Si,Abierto todo el año.,,Calle 29 entre Punta del Indio y Viña del Mar,,5491132018390 / 5491140642745 ,20
LG,Cabaña,Médanos Playa ,Si,Abre el finde largo de noviembre.,,Calle 32 e/ Playa y Mar Azul, ,5492255507575,40
LG,Cabaña,Mell-Mell  ,Si,Abierto todo el año.,,Almirante Brown e/ Avenidas Mar del Plata y Mar Azul,(02255) 46-8066/ 67/ 2,5492255506373,31
MDLP,Cabaña,Merlion  ,Si,Abierto todo el año.,,Delfin Nº 56,,5491154976858,38
MA,Cabaña,Montyamar  ,Si,,,Calle 34 entre Copacabana y Viña del Mar,01139805855 / 2255 479654,,16
LG,Cabaña,Mirador del Indio  ,Si,Abierto todo el año.,,Alte. Brown N° 575 y esq. Punta Indio,,5491156441079,48
MDLP,Apart Hotel 4*,Miradores del Bosque  ,Si,Abierto todo el año.,,Mercedes Sosa y Hudson,(02255) 45-2147/ 2793,5492255508932/ 5492255414202,50
MDLP,Sin categorizar,Mizu ,Si,Abierto todo el año.,, Joaquín V. González y Las Toninas,(02255) 47-5787,5491126325215,46
MDLP,Cabaña,Natural ,Si,Abierto todo el año.,Sin contactos,Payró N° 86 entre Juan de Garay y Cruz del Sur,,,24
LG,Apart Hotel,Moorea  ,Si,Abre en Noviembre,,Mar del Plata y Calle 45,(02255) 47-4578 / 3578,5491130594206,46
LG,Apart Hotel,Morada Sur  ,Si,Abre en octubre,,Calle 28 e/ Mar Azul y Playa,(02255) 47-5684/5,5492214110438,52
MA,Departamentos con servicios,Moremi,Si,,,Calle 34 entre Copacabana y Punta del Este,,5492255436282,8
MDLP,Cabaña,Murmullo de Agua  ,Si,Abre en noviembre.,,Los Andes N° 39  ,,5491155701153,15
MA,Cabaña,Nuevo Dí­a Cabañas  ,Si,Abierto todo el año.,,Calle 34 N° 62 entre Mar Azul y Playa,(02255) 47-6951 ,5491165797741,18
LG,Apart Hotel,Oasis,Si,Abierto todo el año.,No pedir reservas,Mar Azul N° 183,(02255) 47-7005,5492255435676,64
LG,Cabaña,Oasis  ,Si,Abierto todo el año. ,No pedir reservas,Mar Azul entre Calles 28 y 29,(02255) 47-7005,5492255435676,32
MDLP,Sin Categorizar,Oasis de las Pampas,Si,,No pedir tarifas,Virazón N° 25,(02255) 47-6763,5491144054364,35
LG,Apart Hotel,Ossa Mayor  ,Si,Abierto todo el año,,Calle 29 y Mar del Plata,(02255) 47-2014,,60
LG,Apart Hotel,Pago Chico  ,Si,"Cierra los primeros días de mayo y reabre en septiembre.
",,Calle 43 e/ Mar del Plata y Mar Azul,,5492255601982,38
LG,Sin categorizar,Pampa Azul  ,Si,Abierto todo el año.,, Calle 28 e/ Mar del Plata y Mar Azul,(02255) 45-9708,5492255625839,20
VG,Hotel 2*,Maracas  ,Oculto,Oculto en web. Cerrado definitivo,,Avenida 1 Nº 279 e/ Avenida Buenos Aires y Paseo 103,(02255) 46-8779,2255418520,99
MDLP,Apart Hotel,Pampa Inn  ,Si,Abre 01 de enero.,,Alférez Sobral N° 61 entre Virazón y A. Storni,(02255) 46-8629,,18
LG,Apart Hotel,Paradiso  ,Si,,No pedir reservas,Calle 28 y Playa,(02255) 47-5577,5492255435676,35
LG,Cabaña,Pi-Hue  ,Si,Abierto todo el año. cerrado por reformas hasta septiembre.,,Calle 34 e/ Mar Azul y Playa,(02255) 46-8864,5492267419940,16
MDLP,Apart Hotel 4*,Pillmaykén  ,Si,Abre en noviembre.,,Mercedes Sosa e/ Cuyo y Victoria,(02255) 46-1700,5492255603730,64
MDLP,Departamentos con servicios,Pinar de Valen ,Si,Abierto todo el año.,, Limay entre Los Andes y Virazón,,5493489657635,20
LG,Apart Hotel,Playa Gaviota  ,Si,Abierto todo el año.,No pedir reservas,Calle 28 y Mar Azul,(011) 5263-3986,5492255435676,56
LG,Cabaña,Playa Morena,Si,Cerrado h. 01/10,,Calle 29 y Playa,(02255) 47-0331/ 2,5492255573288,48
MDLP,Cabaña,Plenilunio  ,Si,Abierto todo el año.,,Cuyo N° 53,(02255) 45-7277/ 7831,5492255551542,48
MDLP,Hotel,Plenilunio Suites ,Si,Abierto todo el año.,, Victoria N° 44,(02255) 45-7277/ 7831,5492255551542,16
MA,Cabaña 1*,Poetas del Bosque ,Si,Abierto todo el año.,,Copacabana e/ Calles 45 y 46,,5491133465541,30
MDLP,Cabaña,PolBaires VII (ex Silvestris) ,Si,Abierto todo el año.,,Mercedes Sosa y Corvina,(02255) 47-2080,,27
LG,Sin categorizar,Posada de las Gaviotas,Si,Abierto todo el año.,,Calle 33 y Playa N° 13,(02255) 45-5655,5492254440125,27
LG,Cabaña,Posada de los Ángeles  ,Si,Abre en noviembre.,,Calle 33 y Mar Azul,(02255) 45-6125,,15
MDLP,Sin categorizar,Posada la Casona ,Si,Abre en octubre,,Hudson e/ Mercedes Sosa y Joaquín V. González,(02255) 47-9693,5491136438620,20
MA,Cabaña,Puerto de Palos  ,Si,,Sin contactos,Calle 35 N° 257 e/ Mar Del Plata y Punta del Este,,,25
MA,Cabaña,Piedra Libre  ,Si,Problemas de salud. no abrio,,Calle 34 e/ Mar Azul y Mar del Plata,,5492255604416,20
MDLP,Cabaña,Posada La Mandrágora  ,Si,Abierto todo el año.,,Santa María e/ Juan de Garay y El Ceibo,(02255) 47-8699,5492255509475,24
MDLP,Apart Hotel 2*,Posada Piñén  ,Si,Abierto todo el año.,," Juan de Garay N° 391, esquina Payró",(02255) 47-9974,5492255439766 / 5492255439768,12
LG,Apart Hotel,Punta 28  ,Si,Abre vacaciones de invierno,Sin contacto,Calle 28 entre Punta del Este y Copacabana,,,50
LG,Apart Hotel,Posadas del Faro  ,Si,Consultar en noviembre.,,Calle 32 N° 44,(02255) 47-5045,,35
LG,Departamentos con servicios,Posta Cangrejo  ,Si,Abierto todo el año.,,Calle 32 e/ Mar del Plata y Punta del Este,(02255) 47-5720,5491169313729,40
LG,Cabaña,Posta de los Mares ,Si,Abierto todo el año.,,Almirante Brown N° 45 e/ Mar Azul y Playa,(02255) 45-6410 ,5491158819205,28
MDLP,Apart Hotel,Puerto Delfín  ,Si,Abierto todo el año.,,Delfín Nº 18,,5492235365385,52
LG,Apart Hotel,Puerto Encuentro  ,Si,Abierto todo el año.,,Calle 33 y Playa,(02255) 47-2255,5492255413246 / 5492267667104,10
LG,Apart Hotel,Punta Gaviota,Si,Abierto todo el año.,,Mar Azul y Calle 28,,5491173635658 / 5491169662390 ,24
LG,Apart Hotel,Punta Pampa Complejo  ,Si,Abierto todo el año.,,Punta del Este entre A. Brown y Calle 28,(02255) 47-4077,5491137335731,66
LG,Apart Hotel,Punta Quebrachos  ,Si,Abierto T.A.,,Calle 28 y Punta del Este,(02255) 45-7016,5492234379328,42
LG,Cabaña,Rancho Aparte,Si,Abierto todo el año.,,Calle 31 y Mar Azul,No posee,5491158944652,22
LG,Cabaña,Reinamora Playa ,Si,Abierto T.A. y fdsl,,Calle 33 e/ Mar del Plata y Mar Azul,(02255) 45-6433,5491154797333 / 5491157552185,26
LG,Cabaña,Renuevo ,Si,Reabre en diciembre.,,Mar del Plata y Calle 29,(02255) 47-5714,5491124084808 /5491123459945,65
MDLP,Departamentos con servicios,Rincón de las Pampas  ,Si,Abierto todo el año. ,No pedir tarifas, Yaganes Nº 13 y Querandíes,(02255) 45-6050,5491134053877 / 5491160069139 ,26
MDLP,Departamentos con servicios,Rincón de los Vientos  ,Si,Abierto todo el año.,,Payró N° 43 e/ Juan de Garay y Cruz del Sur,(02255) 45-3203,5491140785661,12
MDLP,Apart Hotel 4*,Rincón del Duende ,Si,Abierto todo el año.,,Virazón y Cuyo,(02255) 45-6335,5491170131267,205
LG,Apart Hotel,Rincón del Mar  ,Si,Abierto todo el año.,,Calle 30 y Playa,(02255) 45-6003,5492255436303 / 5492255422706,52
MDLP,Apart Hotel,Runa Moraira  ,Si,Abierto todo el año.,,Victoria e/ Virazón y Mercedes Sosa N° 45,(02255) 46-6522,5492233540454 / 5491166936558,58
VG,Sin categorizar,Neptuno  ,Si,Cerrado T.A. por problemas de Salud.,,Avenida 3 Nº 2763 e/ Paseos 127 y 128,(02255) 46-2376,,60
MDLP,Cabaña,San Dionisio  ,Si,Abierto todo el año.,,Quiroga y Cruz del Sur,(02255) 45-8952,5491130646942,48
MDLP,Apart Hotel,Sintra ,Si,Cierra 17/03 hasta diciembre.,,Hudson N° 34 e/ Mercedes Sosa y J. V. González,(02255) 46-6366 ,5491128294664,40
LG,Departamentos con servicios,Nova Pampa,Oculto,Oculto en web.,,Calle 28 y Mar del Plata,(02255) 45-7172,5492255422999,145
MDLP,Cabaña,Sol de las Pampas  ,Si,Abierto T.A.,,Joaquín V. González N° 65,,5491164517156,18
LG,Apart Hotel,Solar Pampa  ,Si,Abierto todo el año,,Almirante Brown y Mar Azul,(02255) 45-8917 // 11 70787087 //11 23710141 ,,42
MDLP,Apart Hotel 4*,Sonidos del Bosque  ,Si,"Temporada alta, ss, fdsl, vacaciones de invierno.",, El Lucero y Querandíes,(02255) 47-3929,,30
LG,Cabaña,Sottobosco ,Si,Abierto todo el año.,,Mar del Plata y Almirante Brown,(02255) 45-6720,5491151819641,23
MDLP,Cabaña,Sueño Pampa ,Si,Abierto todo el año.,,Piedrabuena e/ El Lucero y Juan de Garay,No posee.,5492236238800 / 5492255552303,35
MDLP,Cabaña,Sueños de Mar  ,Si,Abierto todo el año.CERRADO HASTA OCTUBRE POR REFORMAS.,,E. Paz e/ J. V. González y Juez Repetto,(02255) 47-2741,5492255607220,28
LG,Cabaña,Tehuel  ,Si,Abierto todo el año.,,Calle 33 e/ Copacabana y Punta del Este,(02255) 47-9911,5492267522635,32
LG,Departamentos con servicios,Terra Magma  ,Si,"Cerrado, Abre en octubre",,Calle 28 e/ Punta del Este y Copacabana,(02255) 47-7487,5491154167713,40
LG,Apart Hotel,Terra Meiga  ,Si,Abierto todo el año.,,Calle 28 y Mar Azul,(02255) 45-8885,5492267530455,40
MDLP,Sin categorizar,Terral Hostal  ,Si,FDSL,,Virazón N° 246 e/ Padre Cardiel y Pedro Luro,(02255) 45-4312,5491154693859,8
LG,Cabaña,Terramar  ,Si,Abierto todo el año.,,Calle 32 e/ Mar Azul y Playa,(02255) 46-6794,5491140276744,15
MDLP,Cabaña,Terrazas del Bosque ,Si,Abierto todo el año.,, Los Andes y Limay,(02255) 47-2947,5492255601540,26
LG,Cabaña,Terrazas del Caleu,Si,Abierto todo el año. ,No pedir tarifas,Calle 29 e/ Punta del Este y Copacabana, (02255) 47-2729,5492255435841,20
LG,Apart Hotel,Tila  ,Si,Abierto todo el año.,,Alte. Brown Nº 85,,5491128659336,55
LG,Cabaña,Tonatiúh  ,Si,Abierto todo el año.,,Calle 29 y Mar del Plata,(02255) 47-4097,5491136925913,26
MA,Apart Hotel,Toscanos y Moros ,Si,Abierto todo el año.,,Calle 32 Nº 54,(02255) 46-5352,5491158576855,22
VG,Sin categorizar,Parada 6  ,Oculto,Oculto en web.,,Avenida 6 Nº 519 e/ Paseos 105 y 106,(02255) 46-6256,5491144050467,60
MDLP,Cabaña,Tunquelen  ,Si,Abierto todo el año.,,El Lucero e/ Virazón Y J. Hernández,No posee,5492255505194,16
